series,tp,bn,cs,gs
LEBEC,0,0,0,1
LEEPER,0,0,1,0
LEMONCREEK,0,0,1,1
LEN,0,0,0,1
LENAPE,0,0,0,1
LENNEP,0,0,0,1
LEONARDTOWN,0,0,1,1
LEPNER,0,0,1,0
LEVENGOOD,0,0,1,0
LEVY,0,0,0,1
LIART,0,0,0,1
LIBEG,0,0,1,0
LICK,0,0,1,0
LIHEN,0,0,1,1
LIHILL,0,0,1,0
LILSHEEP,0,0,1,0
LINDSIDE,0,0,1,1
LINNET,0,0,1,1
LINWELL,0,0,1,1
LIPKE,0,0,1,1
LISK,0,0,1,1
LITAG,0,0,0,1
LITTLE HORN,0,0,1,1
LITTLEJOE,0,0,0,1
LITTLESAGE,0,0,1,0
LITTLETABLE,0,0,1,0
LITTLETAHOMA,0,0,1,1
LIVERPOOL,0,0,1,1
LIZA,0,0,0,1
LIZARD,0,0,1,0
LOBERG,0,0,1,0
LODI,0,0,1,0
LOLO,0,0,1,0
LOLON,0,0,1,1
LOLOPEAK,0,0,1,0
LONEPINE,0,0,1,1
LONGBOW,0,0,1,1
LONGMIRE,0,0,1,1
LONNA,0,0,1,1
LONNIEBEE,0,0,1,0
LORHUNT,0,0,0,1
LOSTRIVER,0,0,1,1
LOUSCOT,0,0,0,1
MONMOUTH,0,0,1,1
LOWLAND,0,0,1,1
LOZEAU,0,0,1,0
LUBRECHT,0,0,1,1
LUCILE,0,0,0,1
LUCKNOW,0,0,1,1
LUCKYBOY,0,0,1,1
LUMBEE,0,0,0,1
LUND,0,0,1,0
LYNCHBURG,0,0,1,1
LYONSBRIDGE,0,0,1,0
MACABRE,0,0,0,1
MOUNTAINBURG,0,0,0,1
MACHIAS,0,0,1,1
MACLAREN,0,0,0,1
MOUZON,0,0,0,1
MAGGODEE,0,0,0,1
MAGINNIS,0,0,0,1
MAHOGANY,0,0,1,0
MAIDEN,0,0,1,0
MAITLAND,0,0,0,1
MANAHAWKIN,0,0,0,1
MANDALE,0,0,0,1
MANDARIN,0,0,1,1
MANDY,0,0,1,1
MANHATTAN,0,0,0,1
MANN,0,0,0,1
MANNINGTON,0,0,0,1
MANOKIN,0,0,1,1
MANSKER,0,0,1,1
MANSON,0,0,1,0
MANTOLOKING,0,0,0,1
MANTON,1,0,1,1
MANZANAR,0,0,1,0
MAPLE MOUNTAIN,0,0,0,1
MARCETTA,0,0,1,1
MARCOTT,0,0,0,1
MARIAS,0,0,1,1
MARIEL,0,0,1,1
MARKLEPASS,0,0,0,1
MARSHYHOPE,0,0,1,1
MARLTON,0,0,1,1
MARROWBONE,0,0,1,1
MARSING,0,0,0,1
MARTAB,0,0,0,1
MARTEN,0,0,0,1
MARTINECK,0,0,0,1
MARTINSDALE,0,0,1,0
MARVAN,0,0,1,1
MARVELL,0,0,0,1
MASCHETAH,0,0,1,0
MATAPEAKE,0,0,1,1
MATEWAN,0,0,1,1
MATTAN,0,0,1,1
MATTAPONI,0,0,0,1
MAUCROS,0,0,1,1
MAULE,0,0,1,1
MAURICE,0,0,1,0
MAWSPRING,0,0,1,0
MAXVILLE,0,0,1,1
MAYBEE,0,0,0,1
MAYFIELD,0,0,0,1
MAYMEAD,0,0,1,1
MAYTOWN,0,0,1,1
MCBAIN,0,0,1,0
MCCALLA,0,0,1,0
MCCALPINEMEADOW,0,0,0,1
MCCAMMON,0,0,0,1
MCCASH,0,0,0,1
MCCOLLUM,0,0,1,0
MCCURDY,0,0,1,0
MCGAFFEY,0,0,0,1
MCGINTY,0,0,1,0
MCNAMEE,0,0,1,0
MCWILLAR,0,0,1,0
MEADOWFIELD,0,0,1,1
MEADOWS,0,0,0,1
MEAGHER,0,0,1,0
MEANY,0,0,0,1
MEDOC,0,0,0,1
MEGGETT,0,0,1,1
MELDRIM,0,0,1,1
MELLOE,0,0,0,1
MELOCHE,0,0,0,1
MELVILLE,0,0,1,0
MENAGERIE,0,0,1,1
MENDNA,0,0,0,1
MERCED,0,0,0,1
MERRILL,0,0,0,1
MIDNOT,0,0,1,0
MICHELSON,0,0,1,0
MIDNIGHT,0,0,0,1
MILLBORO,0,0,0,1
MILLPOCKET,0,0,0,1
MILLPOINT,0,0,1,0
MILLRACE,0,0,0,1
MIMMS,0,0,1,1
MINCHUMINA,0,0,1,0
MINDEGO,0,0,1,1
MINNIEPEAK,0,0,0,1
MISPILLION,0,0,1,1
MISHAKAL,0,0,1,0
MODESTO,0,0,1,0
MODESTY,0,0,0,1
MOKIAK,0,0,0,1
MOLLET,0,0,1,0
MONAD,0,0,1,0
MONBUTTE,0,0,1,0
MONCURE,0,0,1,1
MONDEY,0,0,0,1
MONONGAHELA,0,0,1,0
MONTALTO,0,0,0,1
MONTEVALLO,0,0,1,1
MOWBRAY,0,0,1,1
MONTLID,0,0,0,1
MONTOSO,0,0,0,1
MONTOUR,0,0,0,1
MOOLACK,0,0,1,0
MOOSERIDGE,0,0,0,1
MOREHEAD,0,0,1,1
MORET,0,0,0,1
NARCISSE,0,0,1,1
MORGALA,0,0,0,1
MORRISTOWN,0,0,1,1
NARRAGUINNEP,0,0,1,0
MOSHANNON,0,0,1,1
NARROWRIDGE,0,0,1,0
MOUNTAIN PARK,0,0,1,1
MOUNTIRELAND,0,0,0,1
MOUNTWOW,0,0,0,1
MOWER,0,0,0,1
MOYERS,1,0,0,1
MT. OLIVE,0,0,1,1
MUD SPRINGS,0,0,0,1
MUDDUCK,0,0,1,0
MUDIE,0,0,0,1
MUIRKIRK,0,0,0,1
MUNDEN,0,0,0,1
MUKLUNG,0,0,0,1
MUTTONTOWN,0,0,1,1
MULLERS,0,0,0,1
MULLICA,0,0,0,1
MUNK,0,0,0,1
MUNTERVILLE,0,0,0,1
MUSSEL,0,0,1,0
MYSTICLAKE,0,0,1,1
NAFF,0,0,1,1
NAKARNA,0,0,1,0
NALLEN,0,0,1,1
NANCY,0,0,0,1
NANSEMOND,0,0,0,1
NANTICOKE,0,0,0,1
NARADA,0,0,0,1
NASSAWANGO,0,0,1,1
NATHALIE,0,0,1,1
NATHERMAN,0,0,1,0
NAWNEY,0,0,0,1
NEHAR,0,0,0,1
NELDORE,0,0,1,1
NEMAH,0,0,1,1
NEVARC,0,0,1,1
NEW CAMBRIA,0,0,0,1
NIXONTON,0,0,0,1
NEWLANCREEK,0,0,1,0
NIART,0,0,1,0
NICKIN,0,0,0,1
NICKOLNA,0,0,0,1
NIKLASON,0,0,0,1
NIKLAVAR,0,0,0,1
NILDA,0,0,1,0
NILER,0,0,0,1
NIMMO,0,0,0,1
NINEPIPE,0,0,1,0
NORCAN,0,0,0,1
NIRLING,0,0,1,0
NISHON,0,0,0,1
NISSLER,0,0,1,0
NORLO,0,0,0,1
NIVEAN,0,0,1,1
NOBE,0,0,0,1
NOBOCO,0,0,0,1
NOOKSACK,0,0,0,1
NOPEMOUNTAIN,0,0,1,0
NORBERT,0,0,1,1
NORDIC,0,0,1,1
NORDNESS,0,0,0,1
NORFOLK,0,0,1,1
NORMAUK,0,0,1,1
NOVARY,0,0,0,1
NOYO,0,0,0,1
NULEY,0,0,1,1
NUNACHUAK,0,0,0,1
NUNEMAKER,0,0,1,1
NUSHAGAK,0,0,0,1
NUTALL,0,0,1,0
NUTMEG,0,0,1,0
OAK LEVEL,0,0,1,1
OASIS,0,0,1,0
OBRAST,0,0,0,1
OBRIEN,0,0,1,1
OBURN,0,0,1,1
OCEANAIRE,0,0,0,1
ODARK,0,0,0,1
OLANTA,1,0,0,1
OHANAPECOSH,0,0,0,1
OKEETEE,0,0,0,1
OKIOTA,0,0,0,1
OLALLIE,0,0,0,1
OLIVENHAIN,0,0,0,1
OLUSTEE,0,0,1,1
ONAWET,0,0,0,1
ONEONTA,0,0,1,1
ONOVILLE,0,0,1,1
OPECHEKAHTA,0,0,0,1
OPEQUON,0,0,1,1
OPOLIS,0,0,0,1
ORANGE,0,0,1,1
OVANDO,0,0,1,1
ORGTER,0,0,0,1
ORINOCO,0,0,1,1
ORLAND,0,0,1,0
ORO FINO,0,0,1,0
OUTLET,0,0,0,1
OTHELLO,0,0,1,1
OUSELFAL,0,0,0,1
OVERFELT,0,0,0,1
OVERLANDTRAIL,0,0,1,0
OVINGTON,0,0,0,1
OWENFORT,0,0,1,0
OWLRIDGE,0,0,1,1
OWYHIGH,0,0,1,1
PACHAPPA,0,0,1,0
PACHEL,0,0,1,1
PACKSADDLE,1,0,0,0
PACTOLUS,0,0,1,1
PADDY,0,0,1,1
PANDOAH,0,0,0,1
PAICE,0,0,0,1
PALMVIEW,0,0,1,0
PANAMAKER,0,0,0,1
PATIT CREEK,0,0,1,1
PARKFIELD,0,0,0,1
PARKINSON,0,0,1,1
PARLEYS,0,0,1,0
PARRISH,0,0,0,1
PASQUOTANK,0,0,0,1
PASSAR,0,0,0,1
PASTURE POINT,0,0,0,1
PATAPSCO,0,0,0,1
PATIO,0,0,0,1
PATOUZA,0,0,1,1
PATTENBUTTE,0,0,1,0
PAVANT,0,0,0,1
PAVILLION,0,0,0,1
PAX,0,0,0,1
PAXVILLE,0,0,1,1
PEABODY,0,0,1,1
PEAKIN,0,0,1,0
PEAVINER,0,0,1,1
PEDRICK,0,0,1,1
PEDRICKTOWN,0,0,0,1
PEERLESS,0,0,0,1
PELION,0,0,0,1
PELLERNARQUQ,0,0,0,1
PEMBERTON,0,0,1,1
PENASCO,0,0,0,1
PENDROY,0,0,1,1
PENHOOK,0,0,0,1
PENSORE,0,0,0,1
PEOH,0,0,0,1
PERMA,0,0,1,0
PERQUIMANS,0,0,0,1
PESOWYO,0,0,0,1
PETA,0,0,1,0
PETTIGREW,0,0,0,1
PETTY,0,0,1,0
PETZEL,0,0,1,1
PFAFFTOWN,0,0,1,1
PHALANX,0,0,1,1
PHILIPSBURG,0,0,1,0
PHILLIPS,0,0,1,1
PICAYUNE,0,0,0,1
PICCOWAXEN,0,0,1,1
PICEANCE,0,0,0,1
PICKNEY,0,0,1,1
PIERKING,0,0,1,0
PIERRE,0,0,0,1
PIERVIEW,0,0,1,0
PINEYNECK,0,0,1,1
PIUTESPRING,0,0,1,0
POLLASKY,0,0,1,1
PINEAL,0,0,0,1
PINEBREAKS,0,0,0,1
PINEGUEST,0,0,0,1
PINEHILL,0,0,1,1
PINEOLA,0,0,1,1
PINICON,1,0,0,1
PINKEL,0,0,0,1
PINKSTON,0,0,0,1
PINOKA,0,0,1,1
PINTLAR,0,0,1,1
PIPEROCK,0,0,1,1
PIPESTEM,0,0,0,1
PIPPOD,0,0,0,1
PIRKEY,0,0,0,1
PLACENTIA,0,0,0,1
PLACK,0,0,0,1
PLEASANT GROVE,0,0,0,1
PLUMMER,0,0,1,1
POCATY,0,0,0,1
POIN,0,0,1,0
ADIT,0,0,0,1
PONIL,0,0,0,1
PORONTO,0,0,1,0
PORTSMOUTH,0,0,0,1
SHADYOAK,0,0,1,1
POST,0,0,0,1
POTOBAC,0,0,1,1
POTTSBURG,0,0,1,1
ANAMAC,0,0,1,0
POZEGA,0,0,0,1
PREGO,0,0,1,1
PRESTO,0,0,0,1
PREWITT,0,0,1,1
PRITCHETT,0,0,0,1
PROSPECT,0,0,0,1
PROSPERITY,0,0,1,0
PSUNI,0,0,0,1
PSUYAAH,0,0,0,1
RAMCREEK,0,0,0,1
PUCKUM,0,0,1,1
PULS,0,0,0,1
PUNGO,0,0,1,1
PURPLE,0,0,0,1
PYRAMID,0,0,0,1
PYWELL,0,0,1,0
QENI,0,0,0,1
QUAGLE,0,0,1,1
QUAKENASP,0,0,1,0
QUAKERBRIDGE,0,0,1,1
QUEPONCO,0,0,1,1
QUINDOCQUA,0,0,1,1
QUIGG,0,0,1,1
QUIGLEY,0,0,1,0
QUIHI,0,0,1,0
QUIRT,0,0,1,0
RAHWORTH,0,0,1,1
RAINS,0,0,0,1
RALORE,0,0,1,1
RALSTONFLATS,0,0,1,0
RAPELJE,0,0,0,1
RAPIDCREEK,0,0,0,1
RASALO,0,0,1,0
RAWAH,0,0,0,1
RAYNE,0,0,1,1
REAGAN,0,0,0,1
RED POINT,0,0,1,0
REYBOLD,0,0,0,1
REDCHIEF,0,0,1,0
REDFIST,0,0,1,1
SWENCAN,0,0,1,1
REDSAGE,0,0,1,0
REEDPOINT,0,0,1,0
RELYEA,0,0,1,1
REMBERT,0,0,0,1
REMOUNT,0,0,1,1
RENCOT,0,0,1,0
RENNIE,0,0,1,1
RENOL,0,0,0,1
REPP,0,0,1,0
RIFLEPIT,0,0,1,1
RETTIG,0,0,1,0
REVAIS,0,0,0,1
REYCREEK,0,0,0,1
RHODHISS,0,0,1,1
RICHEY,0,0,1,1
RICHVILLE,0,0,0,1
RIDGELAND,0,0,1,1
RIGDON,0,0,1,1
RIGLEY,0,0,1,1
ROCKO,0,0,1,0
RING,0,0,0,1
RINGGOLD,0,0,1,0
RINQUIN,0,0,1,1
RIOMAR,0,0,0,1
RITTEL,0,0,1,1
ROACHGULCH,0,0,1,0
ROANOKE,0,0,0,1
ROCKAWALKIN,0,0,1,1
ROCKBOTTOM,0,0,0,1
ROCKDIRT,0,0,1,1
ROCKERVILLE,0,0,1,1
ROCKISLAND,0,0,1,0
ROWDEN,0,0,0,1
ROGERT,0,0,1,0
RUNCLINT,0,0,1,1
ROLPH,0,0,0,1
RUSSETT,0,0,1,1
ROMIA,1,0,0,0
ROMINELL,0,0,1,1
ROMNEY,0,0,0,1
RONAN,0,0,0,1
RONY,0,0,0,1
ROPER,0,0,0,1
ROTHIEMAY,0,0,1,0
ROTO,0,0,0,1
ROUND BUTTE,0,0,1,1
ROUNDOR,0,0,1,0
ROUNDTREE,0,0,1,1
STONEVILLE,0,0,1,1
ROWAN,0,0,1,0
ROXTON,0,0,0,1
ROY,0,0,1,0
RUDEEN,0,0,0,1
RUFUS,0,0,1,0
RUMBLECREEK,0,0,1,0
RUMFORD,0,0,0,1
RUPLE,0,0,0,1
RUTLEGE,0,0,1,1
SABANA,1,0,0,0
SAGEDALE,0,0,1,1
SALZER,0,0,1,1
SAN ARCACIO,0,0,0,1
SAN ISABEL,0,0,0,1
SANDUR,0,0,0,1
SASSER,0,0,0,1
SANPEDRO,0,0,1,0
SANPITCH,0,0,0,1
SARVANT,0,0,1,1
SLOCUM,0,0,1,1
SASSAFRAS,0,0,1,1
SATURN,0,0,0,1
SAULICH,0,0,0,1
SAUNDERS,0,0,1,1
SAVAGE,0,0,1,0
SAVER,0,0,1,0
SAWBUCK,0,0,1,1
SCAIRT,0,0,1,0
SCAPO,0,0,1,1
SCARPAL,0,0,1,1
SCATTER,0,0,0,1
SCAVE,0,0,0,1
SCHAEFERVILLE,0,0,0,1
SCHNEBLY,0,0,0,1
SCHOOLER,0,0,0,1
SCHROCK,0,0,0,1
SCHUMACHER,0,0,1,1
SCHUSTER,0,0,0,1
SCIPIO,0,0,1,0
SCOAP,0,0,1,0
SCOBEY,0,0,1,1
SCORIO,0,0,1,0
SCOUT,0,0,1,0
SCRAVO,0,0,1,0
SCUDDER,0,0,1,0
SMITHBORO,0,0,1,1
SEABOLDT,0,0,1,1
SEABROOK,0,0,1,1
SEAGATE,0,0,0,1
SEAGOVILLE,0,0,0,1
SEASTRAND,0,0,1,1
SEAVERSON,0,0,0,1
SEBUD,0,0,1,0
SECREST,0,0,1,1
SECUNDA,0,0,1,0
SEDWELL,0,0,0,1
SEEDSKADEE,0,0,1,1
SEITZ,0,0,1,0
SELWAY,0,0,1,1
SENECAVILLE,0,0,1,1
SEWELL,0,0,1,1
SHADOW,0,0,1,0
SHALCAR,0,0,1,1
SHANE,0,0,1,1
SHEETSFLAT,0,0,1,0
SHANLEY,0,0,1,0
SHANTA,0,0,0,1
SHARPTOWN,0,0,1,1
SHEDHORN,0,0,0,1
SHEEPCAN,0,0,0,1
SHEEPISLAND,0,0,1,1
SHEEPSKULL,0,0,1,1
SHENANDOAH,0,0,0,1
SHERMAP,0,0,1,0
SHEWAG,0,0,1,0
SILOAM,0,0,0,1
SHIBAH,0,0,1,0
SILVERJACK,0,0,1,0
SHINGLETOWN,0,0,0,1
SHIRED,0,0,1,0
SHOOFLIN,0,0,0,1
SHOOK,0,0,1,1
SHOTSPRINGS,0,0,0,1
SHUMWAY,0,0,0,1
SHURLEY,0,0,0,1
SICKLESTEETS,0,0,1,0
SIEBEN,0,0,1,0
SIEBERT,0,0,0,1
SIELO,1,0,0,0
SNAGPOINT,0,0,1,1
SNOWSNAKE,0,0,1,1
SIGNALHILL,0,0,1,0
SILVERCITY,0,0,1,1
SILVERKING,0,0,0,1
SINEPUXENT,0,0,0,1
SINNIGAM,0,0,1,0
SIXTEENMILE,0,0,1,0
SIRREF,0,0,0,1
SIWASH,0,0,0,1
SKAGGS,0,0,1,0
SKAMO,0,0,0,1
SKELTER,0,0,0,1
SKUNKFARM,0,0,1,0
SLAGLE,0,0,0,1
SLATEGOAT,0,0,1,1
SLEDRUNNER,0,0,1,0
SLIKOK,0,0,0,1
SLUISKIN,0,0,1,1
SMARTS,0,0,0,1
SNAKE,0,0,0,1
SNAKERIVER,0,0,1,1
SNYDERSDITCH,0,0,1,0
SOMERS,0,0,0,1
SONNETT,0,0,1,1
SONYOK,0,0,0,1
SOURDOUGH,0,0,0,1
SOUTHPOINT,0,0,0,1
SOUTHWICK,0,0,1,1
SPAA,0,0,0,1
SPARTANBURG,0,0,1,1
SPANG,0,0,1,1
SPEARS MOUNTAIN,0,0,0,1
SPARTABUTTE,0,0,1,0
SPENARD,0,0,0,1
SPESSARD,0,0,0,1
SPINEKOP,0,0,1,1
SPRAGUERIVER,0,0,1,0
SPRIGGS,0,0,1,1
SQUATTERFLAT,0,0,1,0
ST. ALBANS,0,0,0,1
ST. MARYS,0,0,0,1
STAINKY,0,0,0,1
STALEY,0,0,1,1
STARMAN,0,0,1,0
STATE,0,0,1,1
STATLER,0,0,0,1
WESTMORELAND,0,0,0,1
STEARNS,0,0,0,1
STECUM,0,0,0,1
STEMPLE,0,0,1,0
STILSON,0,0,1,1
STODA,0,0,0,1
STONEBARN,0,0,1,0
FOOLHEN,0,0,1,0
STORYHILL,0,0,1,1
STOTT KNOB,0,0,1,1
STOUGH,0,0,0,1
STOVHO,0,0,0,1
STRAIGHTSTONE,0,0,1,1
STRAWFIELD,0,0,0,1
STRYKER,0,0,1,1
STUTLER,0,0,1,1
STYLITE,0,0,0,1
SUBWELL,0,0,0,1
SUCARNOOCHEE,0,0,1,0
SUDWORTH,0,0,0,1
SUFFOLK,0,0,0,1
SULA,0,0,1,1
SUMATRA,0,0,0,1
SUMMERLAND,0,0,1,1
SUNBEAM,0,0,1,1
SUNBURST,0,0,1,1
SUNDELL,0,0,0,1
SUNKEN,0,0,1,1
SUNTRANA,0,0,0,1
SURRENCY,0,0,1,1
SUSIVAR,0,0,0,1
SWAINTON,0,0,1,1
SWAKANE,0,0,1,1
SWALA,0,0,1,1
SWAMPCREEK,0,0,1,0
SWEATLODGE,0,0,0,1
SWEDESBORO,0,0,1,1
SWEETGRASS,0,0,0,1
SWEETWEED,0,0,1,1
SWIFTCREEK,0,0,1,0
SWIFTCURRENT,0,0,1,1
VANSTEL,0,0,1,1
SWINGSTATION,0,0,1,0
TAFOYA,0,0,1,1
TAGLAKE,0,0,0,1
TALAPUS,0,0,1,1
TALLY,0,0,1,1
TAMANEEN,0,0,1,1
TAMANOS,0,0,0,1
TANGAIR,0,0,0,1
TANGIER,0,0,1,1
TANNA,0,0,1,1
TARBORO,0,0,1,1
TARGHEE,0,0,1,0
TARRETE,0,0,0,1
TATOOSH,0,0,0,1
TAWCAW,0,0,0,1
TAYLORSVILLE,0,0,0,1
TEAKETTLE,0,0,1,0
TEIGEN,0,0,1,1
TENERIFFE,0,0,1,0
TENT,0,0,1,1
TERLAK,0,0,0,1
TINTON,0,0,0,1
TERLOUGH,0,0,0,1
TERRAD,0,0,0,1
TERTOO,0,0,0,1
TETON,0,0,1,1
TETONVIEW,0,0,1,0
TETOTUM,0,0,1,1
TEWFEL,0,0,1,1
TEXLINE,0,0,0,1
THADER,0,0,0,1
THATUNA,0,0,1,1
THERMOPOLIS,0,0,1,0
THIBADEAU,0,0,1,1
THIRSTYGULCH,0,0,1,0
THIRTYNINE,0,0,1,0
THOENY,0,0,1,1
THOMSON,0,0,1,1
THOROUGHFARE,0,0,0,1
THREECABIN,0,0,1,0
THREERIV,0,0,1,0
THUNDERHEAD,0,0,1,0
THURSA,0,0,1,1
TIBAN,0,0,1,0
TIBS,0,0,0,1
TIBURONES,0,0,0,1
TIDBITS,0,0,0,1
TIGERON,0,0,1,1
TIECHUTE,0,0,1,0
TIGARAHA,0,0,0,1
TIGER CREEK,0,0,0,1
TILFORD,0,0,0,1
TILLERY,0,0,1,1
TILSIT,0,0,1,1
TIMBERLIN,0,0,0,1
TINSLEY,0,0,1,0
TIPPETT,0,0,0,1
TIPSOO,0,0,1,1
TIRZAH,0,0,1,0
TIZZARD,0,0,0,1
TOAST,0,0,1,1
TOKALOO,0,0,0,1
TOKOSITNA,0,0,0,1
TOLEAK,0,0,0,1
WOODMANSIE,0,0,1,1
TOLLFLAT,0,0,1,1
WOOLWINE,0,0,1,1
WOVER,0,0,0,1
TOMLIN,0,0,0,1
TOMOTLEY,0,0,1,1
TONCANA,0,0,0,1
XERIBRUSH,0,0,1,0
TOONE,0,0,0,1
TOOTALL,0,0,1,0
TOPHAT,0,0,1,0
TOQUOP,0,0,0,1
TORCHLIGHT,0,0,0,1
TORPEDO LAKE,0,0,0,1
TORPY,0,0,1,0
TORSIDO,0,0,0,1
TRAILHOLLOW,0,0,1,0
TRANSQUAKING,0,0,1,1
TRAPPE,0,0,1,1
TRAPPER,0,0,1,1
TUNRAVIK,0,0,1,1
TRIANGLE,0,0,0,1
TRICART,0,0,1,1
TRIMAD,0,0,1,0
TURPENTINE,0,0,0,1
TROOK,0,0,1,0
TRUITT,0,0,1,1
UNGIUQ,0,0,0,1
TRUSSUM,0,0,0,1
TSADAKA,0,0,0,1
TUFFIT,0,0,1,1
TUGGLE,0,0,1,1
TUGGLESGAP,0,0,0,1
TULEBASIN,0,0,0,1
TUMBLE,0,0,1,1
TUNITAS,0,0,0,1
TURSON,0,0,1,0
TURTLESPRINGS,0,0,1,0
TUSKAHOMA,1,0,1,1
TUSSAHAW,0,0,0,1
TWOCOLOR,0,0,0,1
TWOGIRLS,0,0,1,1
UFISH,0,0,0,1
UHLIG,0,0,1,1
ULRIC,0,0,1,0
UNICOI,0,0,1,1
UNICORNPEAK,0,0,0,1
UPPERSODA,0,0,0,1
UPSHUR,0,0,1,1
USTIUGOF,0,0,0,1
UTABA,0,0,0,1
UTLEY,0,0,1,1
VAEDA,0,0,0,1
VALPEY,0,0,0,1
VAN HORN,0,0,0,1
VANDA,0,0,1,1
VANDALIA,0,0,1,1
VANELLA,0,0,1,1
VANOCKER,0,0,1,0
VANTRUMP,0,0,1,1
VARINA,0,0,1,1
VARNEY,0,0,1,0
VASSETT,0,0,1,1
VAUCLUSE,0,0,0,1
VELOW,1,0,1,1
VENDOME,0,0,0,1
VERDE,0,0,0,1
VERSHAL,0,0,1,0
VEYO,0,0,0,1
VIA,0,0,0,1
VILLARD,0,0,1,0
VILLSPRINGS,0,0,1,0
VILLY,0,0,1,1
VINCOM,0,0,0,1
VITROFF,0,0,1,0
VOATS,0,0,1,1
VOLBORG,0,0,1,1
WAGONWHEEL,0,0,1,1
WAGRAM,0,0,1,1
WAHEE,0,0,1,1
WAHPENAYO,0,0,1,1
WALBERT,0,0,0,1
WALDBILLIG,0,0,1,0
WALSTEAD,0,0,1,1
WALTHAM,0,0,1,1
WANDO,0,0,1,1
WARFIELD,0,0,1,0
WARHORSE,0,0,0,1
WARWOOD,0,0,1,1
WASDA,0,0,0,1
WASILLA,0,0,0,1
WATE,0,0,1,1
WATSONDRAW,0,0,1,0
WEARYRIVER,0,0,1,1
WEEDMARK,0,0,1,1
WEEKSVILLE,0,0,0,1
WEINGART,0,0,1,1
WELBY,0,0,0,1
WESTFIELD,0,0,1,1
WHARTON,0,0,1,1
WHISTLESTOP,0,0,0,1
WHEATBELT,0,0,0,1
WHEELING,0,0,1,1
WHITEACORN,0,0,1,0
WHITEARTH,0,0,1,1
WHITEFISH,0,0,0,1
WHITEMARSH,0,0,1,1
WHITEWATER,0,0,1,0
WHITLASH,0,0,1,0
WHITNEY,0,0,1,0
WHITTINGTON,0,0,1,1
WIDEN,0,0,1,1
WIDEWATER,0,0,1,1
WIDGETT,0,0,0,1
WILDELL,0,0,1,1
WILDGEN,0,0,1,0
WILEYFLAT,0,0,1,0
WILHELM,0,0,1,0
WILLAPA,0,0,1,1
WILLIWAKAS,0,0,1,1
WILLOW,0,0,1,1
WINDLASS,0,0,0,1
WINFALL,0,0,1,0
WINGINAW,0,0,0,1
WINIFRED,0,0,1,1
WINKLER,0,0,1,0
WINSPECT,0,0,1,0
WINTERCANYON,0,0,1,0
WINWELL,0,0,1,0
WISBY,0,0,1,0
WIST,0,0,0,1
WOLFTRAP,0,0,0,1
WONDER,0,0,1,0
WONDERLAND,0,0,1,1
WOODGULCH,0,0,0,1
WOODHURST,0,0,1,0
WOODPASS,0,0,0,1
WOODSTOWN,0,0,1,1
WORK,0,0,1,0
WOROCK,0,0,1,0
YADKIN,0,0,0,1
YAMACALL,0,0,1,0
YARDLEY,0,0,0,1
YEGEN,0,0,0,1
YELJACK,0,0,0,1
YELLOWBAY,0,0,1,1
YELLOWMULE,0,0,1,0
YENSUS,0,0,0,1
YEOMAN,0,0,0,1
YEOPIM,0,0,1,1
YETULL,0,0,1,0
YNOT,0,0,1,1
YOHN,0,0,0,1
YOLO,0,0,0,1
YORK,0,0,0,1
YOURAME,0,0,1,1
YREKA,0,0,1,0
YSIDORA,0,0,0,1
ZADE,0,0,0,1
ZANESVILLE,0,0,0,1
ZANGO,0,0,1,1
ZATONY,0,0,1,1
ZATOVILLE,0,0,1,1
ZEESIX,0,0,0,1
ZEKIAH,0,0,0,1
ZELDA,0,0,0,1
ZION,0,0,1,1
ZUBER,0,0,0,1
ZYGORE,0,0,1,1
ZYZYL,0,0,0,1
ABSAY,0,0,1,0
ADEL,0,0,1,0
ALBICALIS,0,0,0,1
ALONA,0,0,0,1
AMESHA,0,0,1,0
ANNIESDRAW,0,0,1,0
AQUATNA,0,0,0,1
ARCTANDER,0,0,0,1
ASHBON,0,0,0,1
ASHBRAY,0,0,0,1
ATOMIC,0,1,0,0
AUGGIE,0,0,0,1
BACKROAD,0,0,0,1
BACOBI,0,1,0,0
BAGGS,0,0,0,1
BAIRSPRING,0,0,1,0
BARBOUR,0,1,0,0
BARZEE,0,0,0,1
BASHER,0,1,0,0
BASINCREEK,0,0,0,1
BATA,0,0,0,1
BEALAND,0,1,0,0
BEANLAKE,0,0,0,1
BEAR CREEK,0,0,1,0
BEARTOOTH,0,0,0,1
BEAVERDUMP,0,0,0,1
BEAVERTON,0,0,0,1
BECKLEY,0,1,0,0
BEEFTRAIL,0,0,0,1
BEESKOVE,0,0,0,1
BEMISHAVE,0,0,0,1
BERRAY,0,0,0,1
BIGBEAVER,0,0,0,1
BIGCOULEE,0,1,0,0
BIGNELL,0,0,1,0
BIGRANT,0,1,0,0
BIRNEY,0,0,0,1
BITTON,0,0,0,1
BLACKCREEK,0,0,0,1
BLANDING,0,1,0,0
BOHNLY,0,0,0,1
BOLACK,0,0,0,1
BONAPARTE,0,1,0,0
BONDOE,0,0,0,1
BONNASH,0,0,0,1
BORKY,0,0,0,1
BOYSAG,0,1,0,0
BREITENBACH,0,1,0,0
BUIST,0,1,0,0
BULLHOOK,0,0,0,1
BUNTING,0,1,0,0
BURNETTE,0,0,1,0
BUSBY,0,0,0,1
CABBA,0,0,0,1
CANARWAY,0,0,1,0
CARDWELL,0,0,0,1
CARETT,0,0,0,1
